address,area_ft,bath_full,bath_half,beds,built_year,city,days_on_market,lot_ft,price_ft,property_type,school1,school2,school3,sold_date,sold_price,state,zip_code
"5396 Deodara Grove Ct,","1,156",2,,3,1970,San Jose,,880,497,Condo/Townhome/Row Home/Co-Op,3,8,8,28-Aug-18,575000,CA,95123
"539 Hoover Ave,","1,436",2,,3,1924,San Jose,35,"5,200",987,Single Family Home,4,3,7,19-Jun-18,1418000,CA,95126
"538 Elvis Dr,","1,668",2,,3,1968,San Jose,42,"6,120",719,Single Family Home,6,8,8,20-Aug-18,1200000,CA,95123
"5357 Larchwood Dr,","1,622",2,,4,1965,San Jose,,"6,660",632,Single Family Home,4,6,8,29-Oct-18,1025000,CA,95118
"5356 Avenida Almendros,","2,011",3,,4,1971,San Jose,62,"6,510",497,Single Family Home,4,8,NR,18-Jun-18,1000000,CA,95123
"5353 Cribari Dell,","1,223",2,,2,1970,San Jose,,"1,664",388,Condo/Townhome/Row Home/Co-Op,6,9,10,30-Oct-18,475000,CA,95135
"535 Hewes Ct,","1,792",2,1,3,1998,San Jose,30,"4,500",674,Single Family Home,7,7,9,6-Jul-18,1208000,CA,95138
"5349 Manderston Dr,","1,592",2,1,3,1999,San Jose,33,"5,616",842,Single Family Home,9,9,8,17-Sep-18,1340000,CA,95138
"5342 Dent Ave,","1,300",2,,3,1959,San Jose,21,"6,042",981,Single Family Home,8,8,8,31-Jul-18,1275000,CA,95118
"5340 Gerine Blossom Dr,","1,536",2,,3,1976,San Jose,33,"6,360",587,Single Family Home,5,4,8,12-Sep-18,901000,CA,95123
"5340 Entrada Olmos,","1,920",2,,4,1971,San Jose,44,"6,588",534,Single Family Home,4,8,5,6-Sep-18,1025000,CA,95123
"534 N 12th St,","1,894",,,,1899,San Jose,,"5,625",317,Multi-Family Home,3,5,3,11-Oct-18,600000,CA,95112
"5333 Keene Dr,","2,916",3,1,5,1957,San Jose,35,"6,300",652,Single Family Home,10,8,9,24-Aug-18,1900000,CA,95124
"5319 Estrade Dr,","1,568",2,,3,1959,San Jose,42,"6,042",778,Single Family Home,8,8,8,21-Sep-18,1220000,CA,95118
"5315 Laurel Canyon Dr,","4,486",5,1,6,1999,San Jose,47,0.38,513,Single Family Home,9,9,8,2-Aug-18,2300000,CA,95138
"531 Feldspar Dr,","1,132",2,,3,1959,San Jose,9,"5,500",632,Single Family Home,6,6,6,5-Nov-18,715000,CA,95111
"5304 Dellwood Way,","1,304",2,,3,1960,San Jose,59,"6,136",798,Single Family Home,4,6,8,24-Aug-18,1040000,CA,95118
"5297 Creek Est,","2,255",3,,4,1985,San Jose,,"8,531",593,Single Family Home,6,9,10,13-Nov-18,1338000,CA,95135
"5296 Running Bear Dr,","1,358",2,,3,1977,San Jose,,"7,800",725,Single Family Home,6,4,9,12-Jun-18,985000,CA,95136
"529 Sheridan Pl,","1,132",2,,3,1959,San Jose,29,"5,500",632,Single Family Home,6,6,5,27-Jul-18,715000,CA,95111
"5288 Discovery Ave,","1,362",2,,4,1960,San Jose,50,"5,928",569,Single Family Home,3,4,8,23-Aug-18,775000,CA,95111
"5286 Dellwood Way,","1,829",3,,4,1960,San Jose,22,"6,240",708,Single Family Home,4,6,8,14-Aug-18,1295000,CA,95118
"5280 Apennines Cir,","3,112",3,,4,1996,San Jose,,0.24,588,Single Family Home,9,9,8,26-Sep-18,1830000,CA,95138
"528 Curie Dr,","1,933",2,,4,1968,San Jose,,"7,956",654,Single Family Home,6,8,8,2-Nov-18,1265000,CA,95123
"5265 Halifax Dr,","1,531",2,,3,1960,San Jose,33,"5,959","1,032",Single Family Home,10,7,8,18-Jul-18,1580000,CA,95130
"5259 Meridian Ave,","1,080",2,,3,1959,San Jose,,"6,099",889,Single Family Home,8,8,8,28-Sep-18,960000,CA,95118
"525 N 9th St,","1,380",2,1,2,2003,San Jose,42,665,714,Condo/Townhome/Row Home/Co-Op,3,3,3,16-Aug-18,985000,CA,95112
"5248 Snow Dr,","3,416",,,8,1973,San Jose,43,0.24,492,Multi-Family Home,2,4,9,15-Jun-18,1680000,CA,95111
"5234 Macaw Way,","1,052",3,,2,1988,San Jose,,"1,612",673,Condo/Townhome/Row Home/Co-Op,4,8,8,26-Sep-18,708000,CA,95123
"5228 Silver Ridge Ct,","4,504",5,,4,1996,San Jose,,0.29,595,Single Family Home,9,9,8,9-Nov-18,2682000,CA,95138
"522 N 20th St,","1,446",2,,3,1950,San Jose,,"6,250",854,Single Family Home,4,5,NR,6-Jul-18,1235000,CA,95112
"521 Nokomis Dr,","1,220",2,,4,1973,San Jose,,"6,305",533,Single Family Home,6,6,6,10-Oct-18,650000,CA,95111
"5209 Saint Annes Ct,","3,114",3,1,4,1993,San Jose,1,"6,120",618,Single Family Home,9,9,8,12-Jul-18,1925000,CA,95138
"5205 Cribari Hls,","1,240",2,,2,1971,San Jose,94,"1,664",359,Condo/Townhome/Row Home/Co-Op,6,9,10,19-Jul-18,445000,CA,95135
"52 Holmes Dr,","2,492",2,1,3,1982,San Jose,59,"2,016",311,Condo/Townhome/Row Home/Co-Op,5,4,NR,13-Jul-18,775000,CA,95127
"518 Century Oaks Way,","1,879",2,,4,1976,San Jose,31,"6,000",559,Single Family Home,8,7,9,15-Jun-18,1050000,CA,95111
"5177 Manxwood Pl,","1,091",2,,3,1978,San Jose,60,"6,386",779,Single Family Home,8,7,8,21-Aug-18,850000,CA,95111
"5175 Running Bear Ct,","1,358",2,,3,1977,San Jose,42,"7,280",610,Single Family Home,6,4,9,25-Jul-18,829000,CA,95136
"5153 Sandy Ln,","1,233",2,,3,1959,San Jose,42,"6,200","1,162",Single Family Home,10,8,9,24-Jul-18,1433000,CA,95124
"5148 Noella Way,","1,280",2,,3,1958,San Jose,24,"6,000","1,002",Single Family Home,10,8,9,17-Aug-18,1282700,CA,95124
"514 N 21st St,",884,1,,2,1916,San Jose,,"6,250",343,Single Family Home,3,5,NR,28-Jun-18,303000,CA,95112
"5131 Roeder Rd,","1,080",2,,3,1961,San Jose,,"5,600",255,Single Family Home,3,4,8,15-Aug-18,275500,CA,95111
"5121 Yucatan Way,","1,744",2,,4,1967,San Jose,48,"6,100",763,Single Family Home,9,8,8,25-Jul-18,1330000,CA,95118
